Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","004","Afghanistan","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","913955","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","004","Afghanistan","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","5811099","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","710","Afrique du Sud","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","6631754","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","710","Afrique du Sud","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","8154940","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","008","Albanie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","535826","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","008","Albanie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","322322","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","012","Algérie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","6476029","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","012","Algérie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","6436481","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","276","Allemagne","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","27415610","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","276","Allemagne","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","7544615","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","024","Angola","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","715424","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","024","Angola","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2395341","I","Valeur imputée"
